00000,160,1,8,11,14,7,6,0,55,31,5,9,4,13334455667778
92993,160,1,8,8,14,7,8,0,55,20,0,0,0,13334455677778
92993,160,1,8,8,14,7,7,0,55,18,0,0,0,13334455677778
92993,160,1,8,8,14,7,8,0,55,20,0,0,0,13334455677778
92993,160,1,8,8,14,7,7,0,55,18,0,0,0,13334455677778
92993,160,1,8,9,14,7,7,0,55,20,0,0,0,13334455677778
92993,160,1,8,8,14,7,6,0,55,16,0,0,0,13334455677778
92993,160,1,8,9,14,7,7,0,55,20,0,0,0,13334455677778
92993,160,1,8,8,14,7,8,0,55,20,0,0,0,13334455677778
92993,160,1,8,10,14,7,10,0,55,24,0,0,0,13334455677778
92993,160,1,8,10,14,7,10,0,55,24,0,0,0,13334455677778
92993,160,1,8,5,14,7,4,0,55,10,0,0,0,13334455677778
92993,160,1,8,10,14,7,10,0,55,24,0,0,0,13334455677778
92993,160,1,8,12,14,7,12,0,55,36,0,0,0,13334455677778
92993,160,1,8,10,14,7,10,0,55,24,0,0,0,13334455667778
92993,160,1,8,10,14,7,10,0,55,24,0,0,0,13334455677778
92993,160,1,8,10,14,7,10,0,55,24,0,14,0,13334455677778
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,8,12,10,3,8,2,40,37,0,10,0,2222335667
92993,160,2,6,11,8,1,8,0,34,35,0,8,0,22223667
92993,160,2,6,12,8,1,9,0,34,35,0,8,0,22223667
